"Identifier","Days","Species","Total.sitings","Total.herds","Mean.herd.size","Sd.herd.size","Min.herd.size","Med.herd.size","Max.herd.size","Upper.herd.size","Mean.distance.from.herd","Sd.distance.from.herd","Min.distance.from.herd","Med.distance.from.herd","Max.distance.from.herd","Upper.distance.from.herd","Mean.distance.from.opp.herd","Sd.distance.from.opp.herd","Min.distance.from.opp.herd","Med.distance.from.opp.herd","Max.distance.from.opp.herd","Upper.distance.from.opp.herd","Mean.distance.from.mob","Sd.distance.from.mob","Min.distance.from.mob","Med.distance.from.mob","Max.distance.from.mob","Upper.distance.from.mob","Mean.cattle.density","Sd.cattle.density","Min.cattle.density","Med.cattle.density","Max.cattle.density","Upper.cattle.density","Mean.distance.to.water","Sd.distance.to.water","Min.distance.to.water","Med.distance.to.water","Max.distance.to.water","Upper.distance.to.water","Mean.midday.distance.to.water","Sd.midday.distance.to.water","Min.midday.distance.to.water","Med.midday.distance.to.water","Max.midday.distance.to.water","Upper.midday.distance.to.water","Mean.NDVI","Sd.NDVI","Min.NDVI","Med.NDVI","Max.NDVI","Upper.NDVI","Mean.EVI","Sd.EVI","Min.EVI","Med.EVI","Max.EVI","Upper.EVI","Mean.X.cover","Sd.X.cover","Min.X.cover","Med.X.cover","Max.X.cover","Upper.X.cover","Mean.X.green","Sd.X.green","Min.X.green","Med.X.green","Max.X.green","Upper.X.green","Mean.grass.height","Sd.grass.height","Mean.density","Sd.density","Total.cattle","X.Standing","X.Grazing","X.Walking","X.Drinking","X.Resting","X.light","X.medium","X.open grassland","X.thick","X.OG","X.MB","X.LB","X.hock","X.hoof","X.belly","X.Lh","X.Combined","Exp.1","Exp.2","Random.NDVI"
"PZ5",12,"PZ",44,9,11,10.4562580942387,3,8,25,16,709.483838696509,328.125010352109,318.227468125739,729.774761740213,1060.15836317987,926.262618926744,NA,NA,NA,NA,NA,NA,1297.51424139452,599.033991576456,700.533074197983,1231.81938329466,2025.88512479078,1655.949284023,9.5492965855137,6.3661977236758,0,12.7323954473516,12.7323954473516,12.7323954473516,1531.8435769303,622.495888648915,977.707324266833,1455.273750465,2239.11948252438,1962.04269621846,1419.23018009046,710.746814407466,977.707324266833,1040.86373348018,2239.11948252438,1639.99160800228,0.328775,0.0198622548233242,0.3059,0.3275,0.3542,0.3359,0.1738,0.00957949198374666,0.1622,0.17395,0.1851,0.17865,0.803076923076923,0.0497409462686446,0.76,0.803076923076923,0.846153846153846,0.846153846153846,0.390604144713734,0.142604007138768,0.215384615384615,0.420091324200913,0.506849315068493,0.506849315068493,7.30307692307693,1.87812025711807,11.8570432603462,12.405580781275,160,0,0.25,0.75,0,0,0.5,0.25,0.25,0,0,1,0,0,1,0,0,0.5,"Before","Before",0.330905857500001
"CT3",12,"Cattle",160,1,160,NA,160,160,160,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7323954473516,NA,12.7323954473516,12.7323954473516,12.7323954473516,12.7323954473516,338.671822269594,NA,338.671822269594,338.671822269594,338.671822269594,338.671822269594,338.671822269594,NA,338.671822269594,338.671822269594,338.671822269594,338.671822269594,0.297,NA,0.297,0.297,0.297,0.297,0.1642,NA,0.1642,0.1642,0.1642,0.1642,0.88,NA,0.88,0.88,0.88,0.88,0.415094339622642,NA,0.415094339622642,0.415094339622642,0.415094339622642,0.415094339622642,4.36,NA,50.9295817894065,NA,160,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"Before","Before",0.330905857500001
"GZ5",12,"GZ",34,9,6.8,6.22093240599832,1,4,14,13,489.105633363606,244.87012989874,318.227468125739,349.523707086128,881.630704175702,577.918819304723,NA,NA,NA,NA,NA,NA,809.833569934098,622.63702773598,156.107194064843,700.533074197983,1798.11963526329,931.001429488914,12.7323954473516,0,12.7323954473516,12.7323954473516,12.7323954473516,12.7323954473516,1082.49053792101,614.840212285564,491.05234071043,977.707324266833,2113.75613541392,1040.86373348018,1155.84488346784,684.226265295661,491.05234071043,1009.28552887351,2113.75613541392,1309.08683396361,0.32142,0.0220957461969493,0.297,0.3252,0.3542,0.3252,0.1724,0.0102888288935136,0.1597,0.1765,0.1851,0.1765,0.794461538461538,0.112368792652276,0.6,0.846153846153846,0.88,0.846153846153846,0.416081466254383,0.104336150531472,0.3,0.459016393442623,0.506849315068493,0.506849315068493,6.31446153846154,0.939523107027738,18.3346494441863,9.53761808179016,160,0.2,0.2,0.4,0,0.2,0.2,0.2,0.6,0,0,1,0,0,1,0,0,0.4,"Before","Before",0.330905857500001
"PZ6",13,"PZ",154,23,14,12.2392810246354,2,13,47,14.5,863.823779557828,519.870884661626,317.413030442311,602.625043185409,1742.67784047584,1411.50054489063,NA,NA,NA,NA,NA,NA,1369.97691052993,1326.90846997378,0,659.944324454314,3927.57264415368,1996.60957734033,25.0307319589981,17.7204704479076,0,29.4436644720006,41.3802852038928,39.7887357729738,2218.01946775838,1474.92973183408,489.692844382577,1614.67530059703,4766.28649415341,2980.05005841906,2184.78874684785,1544.25393817031,489.692844382577,1934.2943208704,4512.43403288928,3070.44647922486,0.302218181818182,0.0112295875420087,0.2873,0.2994,0.3246,0.3063,0.160636363636364,0.00892325867912309,0.1483,0.1574,0.1776,0.1652,0.825081585081585,0.106593528807892,0.6,0.84,0.961538461538462,0.863076923076923,0.442325332279542,0.109164427706564,0.275,0.4609375,0.615384615384615,0.514492753623188,8.03203962703963,3.27779481325268,9.86760647169752,8.6636443164666,1170,0.0909090909090909,0.363636363636364,0.454545454545455,0,0.0909090909090909,0.909090909090909,0.0909090909090909,0,0,0.272727272727273,0.181818181818182,0.545454545454545,0.181818181818182,0.818181818181818,0,0,0.363636363636364,"During","Before",0.328585676875001
"CT4",13,"Cattle",1170,6,195,59.5818764390649,150,175,300,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5845104884333,7.59954437293004,29.4436644720006,39.7887357729738,53.3169059357849,40.982397846163,1358.24588668811,1065.89163232075,524.670578902012,892.980085062572,3243.43249172157,1750.33587331261,730.319548120725,228.768174978145,524.670578902012,674.779014051534,1047.04958547782,815.945334854949,0.311016666666667,0.0145657703766971,0.2958,0.3083,0.3291,0.32315,0.164733333333333,0.0100476199503498,0.1541,0.16135,0.1779,0.1728,0.847948717948718,0.0996296891026483,0.68,0.863076923076923,0.961538461538462,0.91,0.432083818841744,0.0905339488860505,0.307692307692308,0.459976946721312,0.525641025641026,0.494646139705882,7.94179487179487,1.97827452559531,115.122075503137,50.546834858188,1170,0,0.5,0.333333333333333,0.166666666666667,0,0.833333333333333,0.166666666666667,0,0,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0,0,0,"During","Before",0.328585676875001
"GZ6",13,"GZ",64,23,5.33333333333333,4.65800061152526,1,3,13,8.75,586.145718557237,453.188577284312,227.109901731097,436.629821859312,1602.04011249482,579.037906044745,NA,NA,NA,NA,NA,NA,1685.20908844022,1617.32261770215,0,932.67573938112,4907.87244246444,2188.15009445879,23.0774667483248,19.2008057957912,0,29.4436644720006,53.3169059357849,39.7887357729738,2244.21467466525,1927.0956861551,395.680061308023,1495.41979769651,5873.72855983873,3062.39453518873,1909.13283181511,2127.58500694429,395.680061308023,993.405869125867,5873.72855983873,2375.70391403121,0.300916666666667,0.0122441699175443,0.2845,0.29965,0.3314,0.303625,0.163475,0.0131707751549337,0.1464,0.16175,0.1872,0.1717,0.758888888888889,0.0999730603443387,0.6,0.8,0.88,0.833333333333333,0.381852539133577,0.104604079088071,0.269230769230769,0.353846153846154,0.541666666666667,0.471073889284866,8.27944444444445,6.1282615448665,14.1117382874814,9.11231283288416,1170,0.166666666666667,0.25,0.416666666666667,0,0.166666666666667,0.75,0.25,0,0,0.166666666666667,0.333333333333333,0.5,0.416666666666667,0.5,0.0833333333333333,0,0.333333333333333,"During","Before",0.328585676875001
"PZ7",15,"PZ",81,16,11.5714285714286,12.2455045201241,2,5,35,14.5,919.012224980382,638.383179830315,327.013528092606,487.240383640608,1821.80974647765,1456.13266108672,NA,NA,NA,NA,NA,NA,910.685543640838,941.116813311209,0,719.690464753511,2542.07706362728,1357.75753313366,34.6048319122664,31.0818177229258,0,31.990143561471,66.845076098596,65.2535266676771,2633.16180901173,1208.45650403927,1064.21394765744,2785.43385984319,4469.01834858619,3240.98518683012,1815.74806666752,888.109844510521,1187.7595731756,1815.74806666752,2443.73656015944,2129.74231341348,0.311628571428571,0.0157715687536903,0.2913,0.3144,0.3335,0.3223,0.164114285714286,0.0146719038268645,0.1493,0.1585,0.1919,0.1695,0.83032967032967,0.0826852795377754,0.68,0.84,0.96,0.846153846153846,0.426793009922065,0.131440302535308,0.275,0.447368421052632,0.615384615384615,0.516245170354759,8.46527472527473,4.59674559925331,4.95653965629046,3.64256094511508,1842,0,0.571428571428571,0,0,0.428571428571429,0.571428571428571,0.285714285714286,0.142857142857143,0,0.428571428571429,0.285714285714286,0.285714285714286,0,0.857142857142857,0,0,0.428571428571429,"During","After",0.323945315625002
"CT5",15,"Cattle",1842,9,230.25,73.0200559533377,100,240,300,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3910840061848,20.1554199470012,12.8915503904435,50.9295817894065,71.6197243913529,66.845076098596,1965.19641043042,1317.37791909481,349.928570430933,2443.73656015944,3948.66937618918,2469.36338878231,2645.00468520199,1226.37031028442,800.395980469773,2469.36338878231,3948.66937618918,3562.85812040923,0.311077777777778,0.0186929651057408,0.2827,0.3065,0.3382,0.3252,0.167577777777778,0.00671226075509917,0.1576,0.1671,0.1765,0.1738,0.80710351377018,0.124035532953085,0.6,0.846153846153846,0.96,0.888888888888889,0.49738605520954,0.118205595607546,0.325,0.48936170212766,0.74,0.56,7.98940804051916,4.03343994307648,91.3903050998795,39.3909109339713,1842,0,0.666666666666667,0.222222222222222,0,0.111111111111111,0.555555555555556,0.444444444444444,0,0,0.333333333333333,0.444444444444444,0.222222222222222,0.222222222222222,0.777777777777778,0,0,0,"During","After",0.323945315625002
"GZ7",15,"GZ",32,16,3.55555555555556,2.87711275027201,1,3,9,5,710.248281985522,566.510820076399,127.20331509656,397.516210837762,1626.25617404497,1231.20536252991,NA,NA,NA,NA,NA,NA,549.301551879446,650.007467276583,0,374.700462131087,1741.49045825145,693.296484872128,45.3061071334929,31.1902069914249,0,50.9295817894065,95.4929658551372,66.845076098596,2329.93840516869,980.196142212926,800.395980469773,2500.78048981722,4013.24714115425,2785.43385984319,2267.75731988201,1346.23753883185,800.395980469773,2128.69307895201,4013.24714115425,2836.11420540814,0.312,0.012607041683123,0.2963,0.3146,0.3335,0.3181,0.164,0.00774709623020135,0.1529,0.1616,0.1765,0.1684,0.711794871794872,0.167671134866606,0.52,0.72,0.96,0.846153846153846,0.370463864339981,0.0940185538930872,0.275,0.325,0.506849315068493,0.459016393442623,6.39401709401709,3.57143138761982,4.77464829275687,3.37993542182001,1842,0,0.444444444444444,0.333333333333333,0,0.222222222222222,0.333333333333333,0.444444444444444,0.222222222222222,0,0.333333333333333,0.555555555555556,0.111111111111111,0.111111111111111,0.888888888888889,0,0,0.333333333333333,"During","After",0.323945315625002
"PZ8",19,"PZ",89,16,9.88888888888889,10.9138036958299,1,7,30,8,660.159086570191,356.148239985297,411.052862716237,464.977289914871,1452.77025473859,685.096360573509,NA,NA,NA,NA,NA,NA,736.858434259514,402.083753971511,152.336746211703,728.877456833349,1413.38141588251,940.950596128342,25.6062619552294,14.2897397592301,7.95774715459477,30.398594130552,42.1760599193523,39.9478907160657,3454.17881586896,952.11762694989,2113.78417300952,3587.45821126329,4763.63012753482,4111.37498769723,3519.79345877139,1170.40891975732,2263.558871563,3716.32873714151,4579.49276760967,4147.91075237559,0.298244444444444,0.022717290282465,0.269,0.2885,0.3309,0.3144,0.157311111111111,0.00907819426489162,0.1462,0.1574,0.174,0.1622,0.794105660844791,0.0655456087393347,0.68,0.833333333333333,0.846153846153846,0.833333333333333,0.381938034104482,0.115527433201617,0.258278145695364,0.41304347826087,0.525641025641026,0.477777777777778,17.3568648581692,12.2280347042211,9.44319329011913,5.93372659596922,1132,0.111111111111111,0.555555555555556,0.333333333333333,0,0,0.555555555555556,0.333333333333333,0,0,0.555555555555556,0.333333333333333,0.111111111111111,0.222222222222222,0.555555555555556,0.222222222222222,0,0.444444444444444,"After","After",0.314664593125002
"CT6",19,"Cattle",1132,8,141.5,40.2953382628101,100,135,220,160.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8760589598277,14.5959673561851,7.95774715459477,36.2873270249521,42.1760599193523,42.1760599193523,3160.36384771277,962.503474462382,1776.05141341665,3117.75791915314,4617.12295316667,3710.71185266601,2665.05918287224,1257.24684461916,1776.05141341665,2665.05918287224,3554.06695232784,3109.56306760004,0.298375,0.0168924116522352,0.274,0.2987,0.3266,0.304775,0.1581625,0.00721247678877177,0.1475,0.15845,0.167,0.16185,0.758611111111111,0.111282011426013,0.6,0.78,0.888888888888889,0.845,0.395580520155928,0.10933050402754,0.258278145695364,0.408508158508158,0.56,0.475021533161068,9.30490740740741,9.91190759833339,74.4845133670072,37.5274107128281,1132,0,1,0,0,0,0.375,0.5,0,0.125,0.375,0.625,0,0.375,0.5,0.125,0,0,"After","After",0.314664593125002
"GZ8",19,"GZ",40,16,5.71428571428571,3.72890894294322,1,5,12,7.5,719.949885993333,423.704802732952,411.052862716237,464.977289914871,1402.39696567877,961.612027649454,NA,NA,NA,NA,NA,NA,910.908919006531,444.224696566729,508.555596014004,872.315738044232,1780.50212527319,1026.6327615159,21.5086537378476,15.9857463758076,7.95774715459477,11.9366207318922,42.1760599193523,36.2873270249521,4281.83051131124,909.771191975189,2774.40271868486,4131.60015476137,5466.25118091741,4886.42789998814,4473.41821010749,749.887363255986,3716.32873714151,4355.54646118552,5466.25118091741,4801.18237093661,0.295242857142857,0.022898315596193,0.269,0.2889,0.3288,0.3097,0.163885714285714,0.0179183731191784,0.1462,0.166,0.1976,0.16905,0.725714285714286,0.110112977095652,0.56,0.68,0.84,0.833333333333333,0.366630635604301,0.0941290195617344,0.258278145695364,0.4,0.474747474747475,0.441401495392106,16.1766666666667,11.9555212334286,7.32112738222719,6.38209337319817,1132,0,1,0,0,0,0.714285714285714,0.142857142857143,0,0,0.571428571428571,0.285714285714286,0.142857142857143,0.285714285714286,0.428571428571429,0.285714285714286,0,0.571428571428571,"After","After",0.314664593125002
