"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/21/21","2","DSCN7107",3,1020,0.483049598,36.86025661,"GZ",1,"full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","light",7614,7662,12,1,NA,NA,4,1,NA,NA,NA,2,1,1,"",0.004865595,"GZ",2021,6,21,10,20,"Oryx","",NA,3,261756.1051,53728,"OG","OG","OG",6.25605017039907e-08,7.14573297024315e-08,0.2864231,0.4203906,508.555596014004,162,0.318549242737086,"GZ76"
"6/22/21","1","DSCN8001",3,1047,0.458429028,36.83380688,"GZ",0,"full","light","no rain","Grazing","belly","brown with some green","Enteropogon macrostachyus","Pennisetum stramineum","Cenchrus ciliaris","Cymbopogon pospischilii","medium",7794,7825,5,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,"Rongai Area",0.008266234,"GZ",2021,6,22,10,47,"Giraffes"," Impala",NA,4,258810.0786,51005.67098,"OG","OG","OG",2.54301811840767e-08,6.49240391838085e-08,0.2878645,0.4457068,1780.50212527319,150,0.0842458977559359,"GZ77"
"6/22/21","1","DSCN8002",2,1116,0.462850205,36.83950902,"GZ",1,"full","light","no rain","Grazing","belly","brown with some green","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","Enteropogon macrostachyus","",7839,7913,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soing'ash Dam Area",0.003830163,"GZ",2021,6,22,11,16,"Impala","",NA,4,259445.1673,51494.5,"MB","MB","MB",6.90148774250074e-08,7.24179324274837e-08,0.4007667,0.6857402,1112.31492690346,150,0.134853894676723,"GZ79"
"6/22/21","1","DSCN 8003",1,1214,0.466562639,36.8499989,"GZ",0,"full","light","no rain","Grazing","hock","brown with some green","Enteropogon macrostachyus","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","light",7923,7996,8,NA,NA,4,NA,1,NA,2,NA,NA,NA,NA,"",0.001023276,"GZ",2021,6,22,12,14,"Impala","",NA,4,260613.3453,51904.76863,"LB","LB","LB",4.1345823120908e-08,6.64752521222673e-08,0.2903226,0.421638,631.430140581577,160,0.253393035455367,"GZ80"
"6/23/21","2","DSCN8259",2,1014,0.498823178,36.85371225,"GZ",1,"part","light","no rain","Walking","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","light",8006,8045,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004908401,"GZ",2021,6,23,10,14,"","",NA,4,261027.9594,55472.91535,"LB","LB","MB",2.73674869833143e-08,5.22068789831369e-08,0.3097813,0.4559926,421.992652588401,80,0.189576760422914,"GZ83"
"6/23/21","2","DSCN8260",1,1029,0.498397601,36.84664488,"GZ",1,"full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","light",8046,8069,4,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,"",0.001331184,"GZ",2021,6,23,10,29,"Impala","",NA,4,260240.9961,55426.10151,"LB","OG","LB",1.93201092018198e-08,7.43146982003027e-08,0.3153602,0.471066,0,100,1e+12,"GZ84"
"6/23/21","2","DSCN8260",3,1046,0.494059638,36.84075349,"GZ",1,"part","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","light",8091,8108,3,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"",0.002390686,"GZ",2021,6,23,10,46,"","",NA,4,259584.8327,54946.5,"LB","LB","LB",3.35400103421103e-08,5.37668423451542e-08,0.3321139,0.5195814,812.753354895461,100,0.123038557020598,"GZ85"
"6/23/21","2","DSCN8261",1,1106,0.486580468,36.8400883,"GZ",1,"part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Cynodon nlemfuensis","light",8119,8178,8,1,NA,1,NA,1,1,3,1,NA,NA,NA,"",0.00319397,"GZ",2021,6,23,11,6,"","",NA,4,259510.4956,54119.2608,"OG","OG","LB",4.92143790259648e-08,7.07318770236186e-08,0.3060285,0.4637701,1497.15183659292,100,0.0667934925208147,"GZ86"
"6/23/21","1","DSCN8262",1,1150,0.463904018,36.84956554,"GZ",0,"part","light","no rain","Walking","hock","brown","Cynodon plectostachyus","Digitaria macroblefara","Pennisetum stramineum","Enteropogon macrostachyus","light",8179,8199,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001917915,"GZ",2021,6,23,11,50,"Impala","",NA,4,260565,51610.71797,"OG","LB","OG",3.49791895239382e-08,6.42556415240885e-08,0.2935561,0.4382839,1024.46929371617,140,0.136656121231462,"GZ81"
"6/23/21","1","DSCN8263",1,1217,0.448746726,36.85551446,"GZ",1,"full","light","no rain","Grazing","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Cenchrus ciliaris","Pennisetum mezzianum","medium",8221,8255,7,NA,NA,1,3,NA,NA,NA,NA,NA,1,2,"",0.007455037,"GZ",2021,6,23,12,17,"","",NA,4,261226.909,49934,"LB","MB","LB",3.67107242752003e-08,4.08498882765853e-08,0.3521647,0.5634398,2030.89796532898,140,0.0689350240091038,"GZ82"
"6/24/21","2","DSCN5581",2,1028,0.501268394,36.84943112,"GZ",1,"full","no wind","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","light",8264,8294,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002100406,"GZ",2021,6,24,10,28,"Impala","",NA,4,260551.3467,55743.53313,"LB","LB","MB",2.28937760361209e-08,6.48472600355822e-08,0.3308021,0.5012585,1313.8352028274,170,0.129392179197318,"GZ89"
"6/24/21","2","DSCN5581",3,1052,0.49736136,36.84057105,"GZ",0,"full","no wind","no rain","Standing","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Pennisetum mezzianum","Pennisetum stramineum","light",8295,8364,9,NA,NA,2,2,1,2,NA,NA,1,1,NA,"",0.003389822,"GZ",2021,6,24,10,52,"","",NA,4,259564.6381,55311.70678,"OG","OG","OG",6.79090961000428e-08,6.82291860994116e-08,0.2633142,0.3781692,1845.40365604643,170,0.0921207668809958,"GZ90"
"6/24/21","1","DSCN5568",1,1143,0.479576827,36.83947116,"GZ",0,"full","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Cenchrus ciliaris","light",8365,8416,11,NA,7,2,NA,1,NA,1,NA,NA,NA,NA,"",0.000523947,"GZ",2021,6,24,11,43,"","",NA,4,259441.529,53344.61691,"LB","LB","LB",5.35609911315702e-08,6.82134881286181e-08,0.2962428,0.4390975,1914.2089327184,100,0.0522409013408913,"GZ87"
"6/24/21","1","DSCN5569",1,1221,0.481201228,36.84053526,"GZ",1,"full","no wind","no rain","Grazing","hoof","brown with some green","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","light",8429,8464,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00048236,"GZ",2021,6,24,12,21,"","",NA,4,259560.0736,53524.25262,"MB","MB","MB",5.1089069984251e-08,6.49384279839955e-08,0.4603175,0.8249716,1995.95717824652,100,0.0501012752627521,"GZ88"
"6/28/21","1","DSCN5580",2,1158,0.463082854,36.84269619,"GZ",1,"part","medium","no rain","Grazing","belly","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Chloris roxburghiana","Enteropogon macrostachyus","light",8492,8532,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000736558,"GZ",2021,6,28,11,58,"Impala"," Elephant",NA,4,259800.0687,51520.12427,"LB","LB","LB",5.29293454160817e-08,5.30581702157059e-08,0.3336671,0.5165866,291.357239502092,200,0.68644252787992,"GZ93"
"6/29/21","1","DSCN0532",2,1112,0.476218927,36.84114887,"GZ",1,"part","no wind","no rain","","hoof","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","Microchloa kunthii","light",8540,8574,8,NA,2,2,2,NA,NA,1,NA,1,NA,NA,"",0.003092912,"GZ",2021,6,29,11,12,"","",NA,4,259628.2252,52973.14394,"LB","OG","OG",2.53968294290818e-08,7.08614264285903e-08,0.3067542,0.4499484,1576.39496730815,180,0.114184581740549,"GZ94"
"6/29/21","2","DSCN0530",3,1234,0.498841269,36.85061237,"GZ",0,"full","light","no rain","Standing","hoof","brown","Cynodon plectostachyus","Enteropogon macrostachyus","Pennisetum stramineum","","light",8617,8625,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,"",0.002661024,"GZ",2021,6,29,12,34,"","",NA,3,260682.79,55475.02971,"OG","OG","OG",2.39317986612331e-08,5.9476557660367e-08,0.3281527,0.4786269,509.51148193519,120,0.235519716933956,"GZ95"
