"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/9/21","2","DSCN6199",2,1101,0.498814734,36.85239056,"Cattle",NA,"full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light",NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004425795,"Cattle",2021,6,9,11,1,"","",NA,4,260880.79,55472.02971,"MB","OG","MB",2.63040587558042e-08,6.18795347570838e-08,0.3076345,0.435445,NA,NA,NA,"CT1"
"6/9/21","2","DSCN6199",3,113,0.481462847,36.84472529,"Cattle",NA,"full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000748188,"Cattle",2021,6,9,1,13,"Oryx"," Impala",NA,4,260026.6438,53553.04142,"MB","LB","MB",3.06390821100947e-08,7.60332991084867e-08,0.4226804,0.7059097,NA,NA,NA,"CT2"
"6/10/21","2","DSCN6458",1,1055,0.490301121,36.85837738,"Cattle",NA,"full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.007654224,"Cattle",2021,6,10,10,55,"Oryx"," Impala",NA,4,261547.1107,54530.14033,"LB","LB","LB",5.07789632409924e-08,7.09298942414601e-08,0.2883983,0.4220511,NA,NA,NA,"CT3"
"6/11/21","2","DSCN6468",1,1120,0.497184191,36.84358289,"Cattle",NA,"full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000407908,"Cattle",2021,6,11,11,20,"","",NA,3,259900,55292,"LB","LB","LB",2.93423879810061e-08,6.6501286981231e-08,0.3658657,0.5766828,NA,NA,NA,"CT4"
"6/12/21","2","DSCN6473",2,930,0.476963095,36.85777227,"Cattle",NA,"full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004908323,"Cattle",2021,6,12,9,30,"","",NA,3,261479.2636,53054.87358,"OG","OG","LB",3.46989339252064e-08,5.35953889244447e-08,0.3031228,0.4528236,NA,NA,NA,"CT5"
"6/12/21","2","DSCN6475",1,1006,0.499879586,36.84572777,"Cattle",NA,"part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light",NA,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00108096,"Cattle",2021,6,12,10,6,"","",NA,4,260138.9298,55590.05536,"LB","LB","LB",2.88656258961598e-08,6.90561298949282e-08,0.3407258,0.5275892,NA,NA,NA,"CT6"
"6/12/21","2","DSCN3247",1,1029,0.455600409,36.8317498,"Cattle",NA,"full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rongai Area",0.007197225,"Cattle",2021,6,12,10,29,"","",NA,4,258580.924,50692.86824,"LB","LB","LB",4.45764364831203e-08,6.5921635480447e-08,0.339369,0.5513952,NA,NA,NA,"CT7"
"6/12/21","2","DSCN3247",3,1126,0.465873341,36.83619868,"Cattle",NA,"full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rongai Area",0.007463698,"Cattle",2021,6,12,11,26,"","",NA,4,259076.6603,51829,"LB","OG","OG",4.21716098825908e-08,5.24184608804818e-08,0.3162779,0.4834752,NA,NA,NA,"CT8"
"6/14/21","2","DSCN3241",1,1127,0.501133379,36.84777045,"Cattle",NA,"full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland",NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0004343,"Cattle",2021,6,14,11,27,"","",NA,2,260366.4279,55728.66044,"MB","MB","MB",3.26290985417198e-08,7.63078675407106e-08,0.3584634,0.5553489,NA,NA,NA,"CT9"
