"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/17/21","2","DSCN7998","2","1240",0.49890006,36.85149937,"Cattle","","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","162","","","","","","","","","","","","","0.001951036","0.00434293","300",0.4886,0.308,"2021","6","17","12","40","","","","3"
"6/17/21","2","DSCN7998","3","1308",0.49842216,36.84550815,"Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","medium","","","240","","","","","","","","","","","","","0.001059061","0","240",0.4787,0.2968,"2021","6","17","13","8","","","","3"
"6/18/21","1","DSCN7109","3","1104",0.468435333,36.85156982,"Cattle","","full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium","","","240","","","","","","","","","","","","","0.002111801","0.003356168","300",0.4168,0.2468,"2021","6","18","11","4","","","","4"
"6/18/21","2","DSCN7111","3","1029",0.486811836,36.8604694,"Cattle","","full","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","Cyperus rubicundus","light","","","200","","","","","","","","","","","","","0.003994164","0","300",0.497,0.3237,"2021","6","18","10","29","","","","4"
"6/18/21","2","DSCN7112","2","1052",0.500591593,36.84561668,"Cattle","","full","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","Pennisetum stramineum","light","","","300","","","","","","","","","","","","","0.002044934","0","100",0.4729,0.2856,"2021","6","18","10","52","Oryx","","","4"
"6/18/21","2","DSCN7113","1","1121",0.481442805,36.84456876,"Cattle","","full","no wind","no rain","Walking","hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","Eragrostis tenuifolia","light","","","300","","","","","","","","","","","","","0.003431691","0.004208283","80",0.3905,0.2326,"2021","6","18","11","21","","","","4"
"6/18/21","2","DSCN7113","2","1127",0.472066786,36.85210161,"Cattle","","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Digitaria macroblefara","light","","","100","","","","","","","","","","","","","0.003431691","0.004208283","80",0.4445,0.2568,"2021","6","18","11","27","","","","4"
"6/21/21","1","DSCN3627","1","1030",0.462287155,36.84102734,"Cattle","","no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","0.003908117","0.006067347","80",0.3903,0.2274,"2021","6","21","10","30","","","","4"
"6/21/21","2","DSCN7107","1","1002",0.468119882,36.85876544,"Cattle","","no sun","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","120","","","","","","","","","","","","","0.004865595","0.003768251","200",0.4044,0.2346,"2021","6","21","10","2","","","","3"
"6/21/21","2","DSCN7108","1","1034",0.487642345,36.86004173,"Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","","light","","","162","","","","","","","","","","","","","","","",0.478,0.2992,"2021","6","21","10","34","","","","3"
"6/21/21","2","DSCN7108","3","1129",0.487708951,36.84743209,"Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","","light","","","220","","","","","","","","","","","","","","","",0.4219,0.253,"2021","6","21","11","29","","","","3"
"6/3/21","2","DSCN2513","1","1020",0.468911959,36.85907079,"PZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","light","1454","1477","12","1","","","","","","1","","","","","","0.005377905","0.000848896","120",0.4452,0.2642,"2021","6","3","10","20","","","","4"
"6/3/21","2","DSCN2513","2","1025",0.47077494,36.85956264,"GZ","0","full","light","no rain","Walking","hock","green with some brown","Chloris roxburghiana","Cynodon plectostachyus","Enteropogon macrostachyus","Cynodon nlemfuensis","light","1478","1527","14","1","","5","1","","","3","1","2","","","Outside study area","0.003862279","0.002772158","120",0.4452,0.2642,"2021","6","3","10","25","Elephant","","","4"
"6/3/21","2","DSCN2513","3","1046",0.472146249,36.85981476,"PZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1528","1566","23","2","","1","4","","","1","1","2","","","","0.003166762","0.004160854","120",0.4548,0.2713,"2021","6","3","10","46","Impala","","","4"
"6/3/21","2","DSCN2513","3","1046",0.472146249,36.85981476,"GZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1567","1566","3","","2","","","","","","","","","","","0.003166762","0.004160854","120",0.4548,0.2713,"2021","6","3","10","46","Impala","","","4"
"6/3/21","2","DSCN2514","1","1055",0.476648303,36.85996747,"PZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","10","1","","2","3","","","1","1","1","1","","","0.002698877","0.001114358","300",0.4391,0.2624,"2021","6","3","10","55","Impala","","","4"
"6/3/21","2","DSCN2514","1","1055",0.476648303,36.85996747,"GZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","7","1","","1","1","","11","1","1","","","","","0.002698877","0.001114358","300",0.4391,0.2624,"2021","6","3","10","55","Impala","","","4"
