"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/7/21","1","DSCN2746","2","1326",0.482998215,36.82700266,"GZ","0","full","medium","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","medium","2679","2687","2","","2","","","","","","","","","","Ngaremata Dam Area ","0.005445898","0.017634828","300",0.5351,0.3155,"2021","6","7","13","26","","","","4"
"6/7/21","1","DSCN2746","3","1404",0.460702646,36.83262721,"GZ","0","full","light","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Cynodon plectostachyus","Microchloa kunthii","Harpachne schimperi ","medium","2688","2739","9","","","2","","3","4","","","","","","Lolakirding Area","0.010081555","0.00517713","250",0.4147,0.2481,"2021","6","7","14","4","Impala","","","4"
"6/11/21","2","DSCN6467","1","1049",0.468179402,36.85649734,"PZ","0","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","","medium","2762","2799","15","2","","","5","2","","1","1","3","1","","","0.00564316","0.002268881","120",0.4441,0.2597,"2021","6","11","10","49","Impala","","","3"
"6/11/21","2","DSCN6467","2","1112",0.487034912,36.83918047,"PZ","0","full","light","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","light","2800","2820","8","1","","","2","2","","1","","1","1","","","0.004004867","0.006293382","220",0.4505,0.2708,"2021","6","11","11","12","Giraffe","","","4"
"6/11/21","2","DSCN6467","3","1116",0.493316713,36.83986356,"GZ","0","full","light","no rain","Walking","hoof","brown","Cynodon nlemfuensis","Pennisetum stramineum","","","medium","2821","2835","2","","2","","","","","","","","","","","0.00307664","0.005365706","240",0.4362,0.2625,"2021","6","11","11","16","Oryx","","","2"
"6/11/21","2","DSCN6468","2","1135",0.506908785,36.84485621,"GZ","1","full","light","no rain","Walking","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","","open grassland","2836","2868","8","","","2","3","","","","2","1","","","","0.000622674","0.0063628","300",0.5372,0.3339,"2021","6","11","11","35","","","","3"
"6/11/21","2","DSCN6468","2","1135",0.506908785,36.84485621,"PZ","1","full","light","no rain","Walking","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","","open grassland","2836","2868","4","1","","1","1","","","","1","","","","","0.000622674","0.0063628","300",0.5372,0.3339,"2021","6","11","11","35","","","","3"
"6/11/21","2","DSCN6468","3","1146",0.501219762,36.85362203,"PZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","light","2869","2888","8","1","","","3","1","","","","3","","","","0.005252369","0.001990194","300",0.4259,0.2568,"2021","6","11","11","46","","","","2"
"6/11/21","2","DSCN6468","3","1146",0.501219762,36.85362203,"GZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","light","2869","2888","4","","","2","","2","","","","","","","","0.005252369","0.001990194","300",0.4259,0.2568,"2021","6","11","11","46","","","","2"
"6/11/21","2","DSCN6469","1","1151",0.4996549,36.85290731,"PZ","0","full","light","no rain","Resting","hoof","brown with some green","Cynodon nlemfuensis","","","","open grassland","2889","2902","10","1","","1","3","1","","1","","2","1","","","0.00504034","0.000986362","350",0.4318,0.2597,"2021","6","11","11","51","Impala","","","1"
"6/12/21","2","DSCN6473","1","929",0.469275261,36.85893522,"PZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Eragrostis racemosa","Eragrostis tenuifolia","","light","2904","2910","3","","","","","","","","","","","","","0.005235401","0.001167787","120",0.4452,0.2642,"2021","6","12","9","29","","","","3"
"6/12/21","2","DSCN6473","3","936",0.481999607,36.86130672,"GZ","0","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Themeda triandra","Pennisetum stramineum","","light","2911","2976","8","","1","5","1","2","1","","1","","","","","0.003380601","0.004698926","300",0.4595,0.2833,"2021","6","12","9","36","Impala","","","3"
"6/12/21","2","DSCN6474","1","948",0.494588851,36.85550559,"GZ","0","full","light","no rain","","","","Cynodon plectostachyus","Cyperus teneristolon","Themeda triandra","Pennisetum stramineum","light","2977","3015","8","","1","2","2","1","1","","1","","1","","","0.00499344","0.005057957","300",0.4323,0.2531,"2021","6","12","9","48","","","","4"
"6/12/21","2","DSCN6474","2","957",0.499494302,36.85235698,"PZ","0","part","light","no rain","Resting","hoof","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","","","open grassland","3016","3034","8","","1","","2","3","","","","2","","","","0.004471215","0.000680397","350",0.4318,0.2597,"2021","6","12","9","57","","","","2"
"6/12/21","2","DSCN6474","3","1000",0.502229636,36.84822441,"PZ","0","part","light","no rain","Grazing","hoof","brown","Themeda triandra","Cynodon dactylon","Eragrostis tenuifolia","Pennisetum stramineum","light","3017","3072","8","","1","","2","3","","","2","","","","","0.001006973","0.001186532","160",0.4788,0.2978,"2021","6","12","10","0","Giraffe","","","4"
"6/12/21","2","DSCN6475","2","1011",0.494827,36.84305705,"GZ","0","part","light","no rain","Walking","","brown with some green","","","","","light","3037","3138","19","","12","1","","2","2","2","","","","","","0.00076347","0.002415131","240",0.4368,0.2656,"2021","6","12","10","11","","","","0"
"6/12/21","2","DSCN6475","2","1011",0.494827,36.84305705,"PZ","0","part","light","no rain","Walking","","brown with some green","","","","","light","3139","3147","6","","1","1","2","","","","1","1","","","","0.00076347","0.002415131","240",0.4368,0.2656,"2021","6","12","10","11","","","","0"
"6/12/21","2","DSCN6475","3","1024",0.491920776,36.83810894,"GZ","0","full","no wind","no rain","Grazing","hock","","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","Chloris roxburghiana","open grassland","3148","3163","5","1","","","2","","","","2","","","","","0.004642319","0.007593923","240",0.4114,0.2457,"2021","6","12","10","24","Impala","","","4"
"6/12/21","2","DSCN6476","1","1032",0.482766878,36.83849898,"GZ","0","","","","","","","","","","","","3164","3175","3","","1","","","1","","","1","","","","","0.002080432","0.00621252","300",0.4143,0.2413,"2021","6","12","10","32","","","","0"
"6/12/21","2","DSCN3247","2","1057",0.463730569,36.8360119,"GZ","0","full","light","no rain","Grazing","belly","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Eragrostis tenuifolia","Chloris roxburghiana","medium","3176","3195","5","","","1","","","4","","","","","","Rongai Area","0.00742136","0.002150897","80",0.4054,0.2476,"2021","6","12","10","57","Impala"," Oryx","","4"
"6/12/21","2","DSCN3248","1","1158",0.453275435,36.84151147,"PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","","light","3196","3204","5","1","","2","","1","","1","","","","","Soing'ash Dam Area ","0.000680975","0.009024715","100",0.3839,0.2227,"2021","6","12","11","58","Elephant","","","3"
"6/17/21","2","DSCN7997","2","1100",0.485345348,36.85832857,"PZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","3271","3329","35","1","12","1","7","2","","","1","4","1","1","","0.007855531","0.002594945","200",0.4839,0.2895,"2021","6","17","11","0","","","","4"
"6/17/21","2","DSCN7997","2","1100",0.485345348,36.85832857,"GZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","3330","3343","1","","","1","","","","","","","","","","0.00491446","0.003120291","350",0.4839,0.2895,"2021","6","17","11","0","","","","4"
"6/17/21","2","DSCN7998","1","1218",0.495867459,36.85341515,"PZ","0","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Microchloa kunthii","Digitaria macroblefara","light","3368","3409","22","2","","","7","3","","","1","2","4","","","0.001032168","0","240",0.4111,0.2423,"2021","6","17","12","18","","","","4"
"6/17/21","2","DSCN7998","2","1240",0.49890006,36.85149937,"GZ","0","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","3410","3441","5","","","2","","2","","","","","","","","0.002208407","0.00337879","300",0.4886,0.308,"2021","6","17","12","40","","","","3"
"6/17/21","1","DSCN8005","1","1345",0.481106358,36.84576039,"GZ","0","full","light","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cyperus rubicundus","","open grassland","3442","3445","1","","","","","","1","","","","","","","0.00169746","0.001238216","300",0.4314,0.2583,"2021","6","17","13","45","","","","3"
"6/17/21","1","DSCN8005","2","1407",0.478605384,36.8441942,"GZ","1","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","open grassland","3446","3458","3","","3","","","","","","","","","","","0.000244215","0.002862037","300",0.4459,0.2663,"2021","6","17","14","7","Elephant","","","2"
"6/17/21","1","DSCN8005","2","1407",0.478605384,36.8441942,"PZ","1","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","open grassland","3446","3458","5","","","","","","","","","","","","","0.000244215","0.002862037","300",0.4459,0.2663,"2021","6","17","14","7","Elephant","","","2"
"6/17/21","1","DSCN8005","3","1448",0.463599599,36.85093968,"PZ","0","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","","","medium","3459","3464","5","1","","","2","","1","","2","","","","","0.000628761","0.004876618","240",0.4188,0.2464,"2021","6","17","14","48","","","","2"
"6/18/21","2","DSCN7111","1","1018",0.476327475,36.85975704,"PZ","0","full","no wind","no rain","Resting","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Cyperus rubicundus","light","3475","3499","7","1","","","3","","","","","1","","2","","0.003994164","0","300",0.4391,0.2624,"2021","6","18","10","18","","","","4"
"6/18/21","2","DSCN7111","2","1026",0.480382894,36.86146569,"PZ","0","full","no wind","no rain","Resting","","brown","Cyperus rubicundus","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","light","3500","3514","5","1","","","","2","","2","","","","","DSCN3510 collared","0.003994164","0","300",0.4633,0.2848,"2021","6","18","10","26","Impala","","","4"
"6/18/21","2","DSCN7112","1","1041",0.499592772,36.85476823,"GZ","1","full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light","3515","3530","6","1","","2","","1","1","1","","","","","","0.000739505","0","300",0.4229,0.2517,"2021","6","18","10","41","Impala","","","4"
"6/18/21","2","DSCN7112","1","1041",0.499592772,36.85476823,"PZ","1","full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light","3515","3530","2","","","","","","","","","","","","","0.001650084","0.000811616","220",0.4229,0.2517,"2021","6","18","10","41","Impala","","","4"
"6/18/21","2","DSCN7112","1","1041",0.499592772,36.85476823,"Cattle","","full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light","3515","3530","300","","","","","","","","","","","","","0.00059091","0","300",0.4229,0.2517,"2021","6","18","10","41","Impala","","","4"
"6/18/21","2","DSCN7112","3","1110",0.48732613,36.84671643,"GZ","0","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","Pennisetum mezzianum","light","3531","3537","1","1","","","","","","","","","","","","0.002240234","0","100",0.3974,0.2387,"2021","6","18","11","10","","","","4"
"6/21/21","1","DSCN3627","2","1053",0.46701693,36.8402486,"GZ","1","part","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","3538","3555","1","1","","","","","","","","","","","","0.003908117","0.006067347","80",0.4103,0.2404,"2021","6","21","10","53","","","","4"
"6/21/21","1","DSCN3627","2","1053",0.46701693,36.8402486,"PZ","1","part","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","3538","3555","7","1","","2","1","1","1","","1","","","","","4.45e-06","0.003137778","300",0.4103,0.2404,"2021","6","21","10","53","","","","4"
"6/21/21","1","DSCN3627","3","1136",0.470712417,36.83985874,"GZ","1","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","light","3556","3604","5","","3","","1","","","","","1","","","","7.52e-05","0.00788563","100",0.4253,0.249,"2021","6","21","11","36","Giraffe","","","4"
"6/21/21","1","DSCN3627","3","1136",0.470712417,36.83985874,"PZ","1","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","light","3556","3604","4","1","","2","","","1","","","","","","","0.00615795","0","120",0.4253,0.249,"2021","6","21","11","36","Giraffe","","","4"
"6/21/21","1","DSCN3628","1","1149",0.483614058,36.84230352,"PZ","0","part","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Cynodon plectostachyus","Eragrostis tenuifolia","Microchloa kunthii","light","3605","3610","1","1","","","","","","","","","","","","0.001793995","0.002347092","300",0.4202,0.2493,"2021","6","21","11","49","","","","4"
"6/21/21","1","DSCN3628","2","1253",0.454465578,36.84203038,"GZ","0","full","light","no rain","Grazing","hoof","brown","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","3611","3621","2","","2","","","","","","","","","","","0.004865595","0.003768251","200",0.3697,0.2134,"2021","6","21","12","53","Elephant","","","4"
"6/7/21","2","DSCN2754","1","1025",0.476369231,36.86187213,"GZ","0","full","light","no rain","Grazing","hoof","green with some brown","Cymbopogon pospischilii","Pennisetum stramineum","Cynodon nlemfuensis","","light","5625","5642","5","","5","","","","","","","","","","","0.000790228","0.002698982","300",0.4595,0.2835,"2021","6","7","10","25","Cattle","","","3"
"6/7/21","2","DSCN2754","2","1110",0.499373496,36.85224601,"GZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon dactylon","Cynodon nlemfuensis","Pennisetum stramineum","","open grassland","5643","5746","21","1","1","6","6","1","","","3","3","","","","0.004344033","0.000577157","350",0.4318,0.2597,"2021","6","7","11","10","","","","3"
"6/7/21","2","DSCN2754","2","1110",0.499373496,36.85224601,"PZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon dactylon","Cynodon nlemfuensis","Pennisetum stramineum","","open grassland","5643","5746","16","","","","","","","","","","","","","0.004344033","0.000577157","350",0.4318,0.2597,"2021","6","7","11","10","","","","3"
"6/7/21","2","DSCN2754","3","1131",0.500721663,36.85005174,"PZ","0","full","no wind","no rain","Walking","hoof","green with some brown","Cynodon nlemfuensis","Cynodon plectostachyus","Enteropogon macrostachyus","Pennisetum stramineum","medium","5747","5775","8","1","","2","2","1","","","","","2","","","0.002620371","0.001482046","150",0.449,0.2764,"2021","6","7","11","31","Elephant","","","4"
"6/7/21","2","DSCN2757","1","1158",0.487940379,34.74379547,"PZ","0","full","light","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","medium","5775","5786","5","1","","","","2","1","","","","","","","1.985161552","2.088204769","250",0.5203,0.3,"2021","6","7","11","58","","","","4"
"6/7/21","2","DSCN2757","2","1209",0.480635235,36.84473683,"GZ","0","full","light","no rain","Drinking","hoof","green with some brown","Cenchrus ciliaris","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","open grassland","5787","5794","1","1","","","","","","","","","","","","0.000619318","0.000824874","300",0.4314,0.2583,"2021","6","7","12","9","Warthog","","","4"
"6/7/21","2","DSCN2757","3","1216",0.481029653,36.84618201,"PZ","0","full","no wind","no rain","Resting","hoof","green with some brown","Cynodon plectostachyus","Cenchrus ciliaris","Bothriochloa insculpta","","light","5795","5813","7","1","","2","2","","","","","","2","","","0.002104784","0.001665314","300",0.422,0.2522,"2021","6","7","12","16","","","","3"
"6/7/21","2","DSCN2755","1","1226",0.492809851,36.84799289,"PZ","0","full","light","no rain","Standing","hoof","green with some brown","Cynodon dactylon","Eragrostis tenuifolia","Aristida adscensionis","","open grassland","5814","5825","6","1","","2","1","1","","","","1","","","","0.000714718","0.002244686","200",0.4023,0.2474,"2021","6","7","12","26","","","","3"
"6/7/21","2","DSCN2755","2","1249",0.488408154,36.85745372,"PZ","0","full","light","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Cynodon nlemfuensis","","open grassland","5845","5844","6","1","","","2","1","","","","","2","","","0.006749111","0.002106293","200",0.4646,0.2936,"2021","6","7","12","49","","","","3"
"6/7/21","2","DSCN2755","3","1229",0.486544831,36.84900169,"GZ","0","full","light","no rain","Resting","hoof","brown with some green","Cynodon nlemfuensis","Cynodon dactylon","","","open grassland","5845","5854","1","1","","","","","","","","","","","","0.002748088","0.00195418","220",0.405,0.2414,"2021","6","7","12","29","Eland","","","2"
"6/7/21","2","DSCN2758","1","1318",0.481563793,36.84589527,"GZ","0","full","light","no rain","Walking","hoof","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Pennisetum stramineum","","medium","5855","5867","8","","8","","","","","","","","","","","0.001913612","0.001332016","300",0.4136,0.2501,"2021","6","7","13","18","","","","3"
"6/8/21","1","DSCN6080","1","951",0.447381873,36.84068739,"PZ","1","full","no wind","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Enteropogon macrostachyus","medium","5868","5924","14","2","","3","2","3","","1","","1","1","","","0.001412465","0.012141863","250",0.3577,0.1995,"2021","6","8","9","51","Giraffe","","","4"
"6/8/21","1","DSCN6080","1","951",0.447381873,36.84068739,"GZ","1","full","no wind","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Enteropogon macrostachyus","medium","5868","5924","3","","1","2","","","","","","","","","","0.001412465","0.012141863","250",0.3577,0.1995,"2021","6","8","9","51","Giraffe","","","4"
"6/8/21","1","DSCN6080","2","1025",0.460881632,36.83240176,"PZ","0","full","light","no rain","Grazing","hock","brown with some green","Pennisetum stramineum","Chloris roxburghiana","Cynodon nlemfuensis","Pennisetum mezzianum","medium","5925","5945","9","1","","","3","2","","","1","2","","","","0.010350338","0.005321313","250",0.4147,0.2481,"2021","6","8","10","25","Impala","","","4"
"6/8/21","1","DSCN6080","3","1051",0.478885207,36.84279846,"GZ","0","full","medium","no rain","Standing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Microchloa kunthii","open grassland","5946","5959","4","","","","2","","","","1","","1","","","0.001658872","0.00311051","300",0.3655,0.2156,"2021","6","8","10","51","","","","4"
"6/8/21","1","DSCN6081","1","1106",0.451053681,36.84328489,"PZ","0","full","light","no rain","Walking","hock","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Cynodon dactylon","Cymbopogon pospischilii","medium","5960","5974","6","1","","1","2","","","","","2","","","","0.001200745","0.011458074","100",0.3815,0.22,"2021","6","8","11","6","Warthog","","","4"
"6/8/21","1","DSCN6081","2","1126",0.46289419,36.85023041,"PZ","0","full","medium","no rain","Grazing","hock","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","5975","5991","7","1","","","1","3","","1","","","1","","Rongai Area","0.00150256","0.005700727","240",0.4188,0.2464,"2021","6","8","11","26","Elephant","","","4"
"6/8/21","1","DSCN6081","3","1136",0.469643126,36.85229486,"PZ","0","full","light","no rain","Resting","belly","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Cyperus","","5992","6017","6","1","","1","2","","","","1","","1","","","0.002187602","0.001408704","240",0.4713,0.2737,"2021","6","8","11","36","","","","4"
"6/8/21","1","DSCN6082","1","1142",0.46977749,36.8540047,"PZ","0","full","medium","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Chloris roxburghiana","medium","6018","6074","14","","","","","","","1","","","","","","0.003812961","0.002780292","240",0.4713,0.2737,"2021","6","8","11","42","Eland","","","4"
"6/9/21","2","DSCN6198","1","952",0.469912579,36.85792599,"PZ","1","full","light","no rain","Grazing","hock","green with some brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Cyperus","medium","6083","6106","4","","","","","","","","","","","","","0.005711959","0.001979505","120",0.4487,0.2603,"2021","6","9","9","52","","","","4"
"6/9/21","2","DSCN6198","1","952",0.469912579,36.85792599,"GZ","1","full","light","no rain","Grazing","hock","green with some brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Cyperus","medium","6083","6106","12","","4","4","","2","","2","","","","","","0.005711959","0.001979505","120",0.4487,0.2603,"2021","6","9","9","52","","","","4"
"6/9/21","2","DSCN6198","2","1009",0.478847062,36.86111532,"GZ","0","full","medium","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Chloris roxburghiana","Pennisetum mezzianum","Pennisetum stramineum","light","6107","6123","1","","","1","","","","","","","","","","0.001730443","0.002002164","300",0.4681,0.2878,"2021","6","9","10","9","Elephant","","","4"
"6/9/21","2","DSCN6198","3","1019",0.496834321,36.85184016,"GZ","0","full","medium","no rain","Grazing","","","Cynodon plectostachyus","Eragrostis tenuifolia","Eragrostis superba","Pennisetum stramineum","light","6124","6134","3","1","","1","","","","1","","","","","","0.00357756","0.002055475","350",0.4111,0.2412,"2021","6","9","10","19","Eland","","","4"
"6/9/21","2","DSCN6199","1","1040",0.497810044,36.84302495,"GZ","0","full","light","no rain","Grazing","hoof","green","Cenchrus ciliaris","Cynodon nlemfuensis","Cynodon plectostachyus","Chloris virgata","light","6135","6186","16","","","2","6","","1","1","1","3","2","","","0.000992661","0.000838444","240",0.4161,0.253,"2021","6","9","10","40","Impala","","","4"
"6/9/21","2","DSCN6199","2","1101",0.498814734,36.85239056,"GZ","0","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","6187","6197","1","1","","","","","","","","","","","","0.004425795","0","350",0.4318,0.2597,"2021","6","9","11","1","","","","4"
"6/10/21","2","DSCN6458","2","1059",0.496590633,36.85310846,"PZ","1","full","medium","no rain","Grazing","hock","green with some brown","Pennisetum stramineum","Cyperus","Pennisetum mezzianum","Cymbopogon pospischilii","light","6221","6282","16","","","","","","","","","","","","","0.004765989","0.002337093","350",0.4111,0.2423,"2021","6","10","10","59","Eland","","","4"
"6/10/21","2","DSCN6458","2","1059",0.496590633,36.85310846,"GZ","1","full","medium","no rain","Grazing","hock","green with some brown","Pennisetum stramineum","Cyperus","Pennisetum mezzianum","Cymbopogon pospischilii","light","6221","6282","1","1","","","","","","","","","","","","0.004765989","0.002337093","350",0.4111,0.2423,"2021","6","10","10","59","Eland","","","4"
"6/10/21","2","DSCN6458","3","1131",0.502432442,36.84585911,"GZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon nlemfuensis","Aristida adscensionis","Cynodon dactylon","Pennisetum mezzianum","light","6283","6373","18","1","","5","2","5","","3","","1","1","","","0.000582027","0.001856744","300",0.4871,0.2942,"2021","6","10","11","31","Elephant"," Impala","","4"
"6/10/21","2","DSCN6459","1","1213",0.472681757,36.86037898,"PZ","0","part","light","no rain","Standing","hoof","green with some brown","Cymbopogon pospischilii","Pennisetum stramineum","Pennisetum mezzianum","","open grassland","6374","6409","9","","9","","","","","","","","","","","0.002563284","0.004838824","120",0.4548,0.2713,"2021","6","10","12","13","","","","3"
"6/14/21","2","DSCN3240","1","1028",0.490336834,36.85639804,"PZ","0","full","light","no rain","Walking","hoof","green with some brown","Cynodon nlemfuensis","Cenchrus ciliaris","Pennisetum stramineum","","light","6537","6559","3","","3","","","","","","","","","","","0.005783007","0.001979662","200",0.414,0.2555,"2021","6","14","10","28","","","","3"
"6/14/21","2","DSCN3240","2","1050",0.498643185,36.85111727,"GZ","0","full","light","no rain","Standing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","","open grassland","6560","6568","2","","","","1","","","","","1","","","","0.003141403","0.000460418","162",0.4886,0.308,"2021","6","14","10","50","Eland","","","3"
"6/14/21","2","DSCN3240","3","1106",0.499494043,36.85384736,"GZ","1","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","","light","6569","6650","13","","2","3","1","3","","3","1","","","","","0.004865271","0.000926147","300",0.4318,0.2597,"2021","6","14","11","6","","","","3"
"6/14/21","2","DSCN3240","3","1106",0.499494043,36.85384736,"PZ","1","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","","light","6569","6650","25","","","","","","","","","","","","","0.004865271","0.000926147","300",0.4318,0.2597,"2021","6","14","11","6","","","","3"
"6/14/21","2","DSCN3241","2","1151",0.484150921,36.84095579,"PZ","0","full","light","no rain","Walking","hoof","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","Chloris roxburghiana","medium","6660","6666","3","","","","1","1","","","","","1","","","0.001311361","0.004515246","300",0.3874,0.2295,"2021","6","14","11","51","","","","4"
"6/14/21","2","DSCN3241","3","1203",0.49978708,36.84819117,"GZ","0","full","light","no rain","Walking","hoof","green with some brown","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","medium","6667","6675","4","","","","","","1","3","","","","","","0.000581843","0.00113253","150",0.4542,0.2837,"2021","6","14","12","3","","","","4"
"6/14/21","2","DSCN3242","1","1223",0.504463916,36.85544916,"GZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","","","open grassland","6676","6734","14","1","","5","1","4","","2","","","1","","","0.003365167","0.004918507","300",0.4207,0.2607,"2021","6","14","12","23","","","","2"
"6/14/21","2","DSCN3242","1","1223",0.504463916,36.85544916,"PZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","","","open grassland","6676","6734","13","1","","","3","1","","","","","2","1","","0.003365167","0.004918507","300",0.4207,0.2607,"2021","6","14","12","23","","","","2"
"6/14/21","2","DSCN3242","2","1250",0.485098745,36.85043008,"GZ","0","full","light","no rain","Resting","hoof","green with some brown","Cynodon plectostachyus","","","","open grassland","6735","6743","1","","","1","","","","","","","","","","0.003133166","0.003975062","220",0.4205,0.2513,"2021","6","14","12","50","","","","1"
"6/15/21","2","DSCN6973","2","934",0.482810944,36.85981999,"PZ","0","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cyperus","Eragrostis tenuifolia","light","6744","6761","6","1","","","2","1","","","","","1","1","","0.004989657","0.004053254","200",0.4875,0.2943,"2021","6","15","9","34","Eland"," Giraffe","","4"
