"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.to.mob","Closest.mob.size","Scaled.mob.size"
"6/3/21","2","DSCN2516","2","1302","0.47880626","36.84758671","PZ","0","full","light","no rain","Grazing","hock","green with some brown","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light","1892","1959","20","3","1","4","6","3","1","","2","3","","1","","0.002080663","PZ","2021","6","3","13","2","Elephant","","","4","MB","LB","MB","4.85605396999859e-08","7.35509296990535e-08","0.3776736","0.65478","","",""
"6/3/21","2","DSCN2516","3","1314","0.481024214","36.8440771","PZ","1","full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light","1960","2003","36","","","","","","","","","","","","","2.3e-05","PZ","2021","6","3","13","14","Impala","","","4","LB","LB","LB","2.52525349960429e-08","7.84467309954395e-08","0.3346515","0.5146723","","",""
"6/3/21","2","DSCN2516","3","1314","0.481024214","36.8440771","GZ","1","full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light","1960","2003","8","","8","","","","","","","","","","","2.3e-05","GZ","2021","6","3","13","14","Impala","","","4","LB","LB","LB","2.52525349960429e-08","7.84467309954395e-08","0.3346515","0.5146723","","",""
"6/3/21","2","DSCN2517","1","1322","0.483220847","36.8394061","GZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Cynodon nlemfuensis","Cynodon dactylon","light","2004","2017","4","","4","","","","","","","","","","","0.001644963","GZ","2021","6","3","13","22","Giraffe","","","4","OG","OG","OG","3.38527214088197e-08","4.14314384094238e-08","0.2773071","0.3940518","","",""
"6/3/21","2","DSCN2517","2","1328","0.48578593","36.83735492","GZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","light","2018","2022","2","","","","1","","","","1","","","","","0.004854869","GZ","2021","6","3","13","28","","","","4","LB","LB","OG","6.13151113000354e-08","7.07483312991324e-08","0.339759","0.5471243","","",""
"6/3/21","2","DSCN2517","3","1345","0.501811998","36.85066333","GZ","0","full","light","no rain","Drinking","hock","green with some brown","Cynodon plectostachyus","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","medium","2023","2044","5","","","3","","1","","1","","","","","","0.003377041","GZ","2021","6","3","13","45","","","","4","LB","LB","LB","3.46879377051055e-08","3.93568657026129e-08","0.2784131","0.379767","","",""
"6/3/21","2","DSCN2518","1","1404","0.474282615","36.84896837","GZ","0","full","light","no rain","Walking","hock","green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","light","2045","2048","6","1","5","","","","","","","","","","","0.001052189","GZ","2021","6","3","14","4","","","","4","LB","OG","LB","2.72387391251426e-08","6.98158741239858e-08","0.3407103","0.5296424","","",""
"6/4/21","1","DSCN2507","1","1025","0.452792203","36.83933094","PZ","0","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","","thick","2053","2071","6","1","","","1","3","","","1","","","","","0.002614454","PZ","2021","6","4","10","25","Giraffe","","","3","MB","MB","LB","3.9247139610242e-08","4.08041726066967e-08","0.3720865","0.6435788","","",""
"6/4/21","1","DSCN2507","2","1045","0.477839068","36.82977621","GZ","0","full","light","no rain","Grazing","belly","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Chloris roxburghiana","medium","2072","2126","10","","","1","","3","","6","","","","","","0.003089885","GZ","2021","6","4","10","45","Cattle","","","4","LB","LB","LB","2.61237415239937e-08","7.26166231241265e-08","0.4055727","0.7149236","","",""
"6/4/21","1","DSCN2507","3","1102","0.482575779","36.83464424","GZ","1","full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","2127","2184","8","1","7","","","","","","","","","","","0.00496521","GZ","2021","6","4","11","2","","","","4","OG","OG","OG","5.00842634410105e-08","6.67245486429529e-08","0.3509514","0.5709372","","",""
"6/4/21","1","DSCN2507","3","1102","0.482575779","36.83464424","PZ","1","full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","2127","2202","8","1","1","1","2","1","","","","2","","","","0.00496521","PZ","2021","6","4","11","2","","","","4","OG","OG","OG","5.00842634410105e-08","6.67245486429529e-08","0.3509514","0.5709372","","",""
"6/4/21","1","DSCN2509","1","1119","0.482913156","36.84354778","GZ","0","full","light","no rain","Walking","","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","light","2203","2256","6","","6","","","","","","","","","","","0.000342558","GZ","2021","6","4","11","19","Elephant","","","4","OG","MB","LB","2.42922807360003e-08","8.46238147368041e-08","0.3469689","0.5563898","","",""
"6/4/21","1","DSCN2509","2","1128","0.470724828","36.84041488","PZ","0","full","no wind","no rain","Walking","belly","brown with some green","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","Pennisetum mezzianum","medium","2257","2260","1","","1","","","","","","","","","","","0.003353027","PZ","2021","6","4","11","28","Impala","","","4","LB","MB","LB","3.00238051858023e-08","5.80766631829628e-08","0.3590426","0.5612372","","",""
"6/4/21","1","DSCN2509","3","1138","0.47000135","36.83922024","PZ","1","full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium","2261","2293","7","","","","","","","","","","","","","0.004578341","PZ","2021","6","4","11","38","Impala","","","4","LB","LB","LB","1.93104600997431e-08","8.00308600998653e-08","0.3274825","0.4964647","","",""
"6/4/21","1","DSCN2509","3","1138","0.47000135","36.83922024","GZ","1","full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium","2261","2293","3","","2","","","","1","","","","","","","0.004578341","GZ","2021","6","4","11","38","Impala","","","4","LB","LB","LB","1.93104600997431e-08","8.00308600998653e-08","0.3274825","0.4964647","","",""
"6/4/21","1","DSCN2510","1","1148","0.469732218","36.83658387","PZ","0","full","light","no rain","Walking","belly","green with some brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Chloris roxburghiana","medium","2294","2330","8","1","","1","3","","","","","1","2","","Soing'ash Dam Area ","0.006972524","PZ","2021","6","4","11","48","","","","4","MB","LB","LB","2.09459516238963e-08","6.84485996246788e-08","0.380426","0.6055794","","",""
"6/4/21","1","DSCN2510","2","1203","0.450930767","36.84259335","PZ","0","full","no wind","no rain","Walking","belly","brown with some green","Themeda triandra","Pennisetum mezzianum","Cynodon plectostachyus","","thick","2331","2348","12","1","4","","1","","","","","","","1","","0.00114117","PZ","2021","6","4","12","3","Elephant"," Oryx","","3","LB","LB","LB","2.61892979883535e-08","5.56431609896488e-08","0.3333333","0.5177002","","",""
"6/4/21","1","DSCN2510","3","1215","0.466200303","36.84099728","PZ","0","full","light","no rain","Standing","hock","green with some brown","Pennisetum mezzianum","Cynodon nlemfuensis","Enteropogon macrostachyus","Cenchrus ciliaris","medium","2349","2377","7","1","","1","2","1","","","","1","","1","","0.002660928","PZ","2021","6","4","12","15","","","","4","MB","MB","MB","3.36604148090589e-08","4.06912478073238e-08","0.3864274","0.6497548","","",""
"6/4/21","1","DSCN2511","1","1221","0.468424706","36.84108245","GZ","0","full","light","no rain","Grazing","belly","green with some brown","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","Chloris roxburghiana","medium","2378","2393","3","","3","","","","","","","","","","Soing'ash Dam Area ","0.002920207","GZ","2021","6","4","12","21","","","","4","OG","OG","OG","3.30605473356057e-08","6.24224633353476e-08","0.2821479","0.4141316","","",""
"6/4/21","1","DSCN2511","2","1227","0.47868424","36.84296581","GZ","0","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","","Microchloa kunthii","light","2394","2402","2","","1","","","","1","","","","","","Soing'ash Dam Area ","0.001474492","GZ","2021","6","4","12","27","Impala","","","3","LB","LB","LB","4.06200456997233e-08","5.62987357015523e-08","0.2991744","0.441008","","",""
"6/4/21","1","DSCN2511","3","1234","0.473806177","36.84896161","PZ","0","full","light","no rain","Walking","hock","brown with some green","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","Chloris roxburghiana","light","2403","2403","1","","1","","","","","","","","","","Rongai Area","0.001056888","PZ","2021","6","4","12","34","","","","4","LB","OG","LB","2.9189445629188e-08","7.17021926269539e-08","0.3752066","0.6348466","","",""
"6/4/21","1","DSCN2512","1","1244","0.466227576","36.8506015","PZ","0","full","light","no rain","Standing","hoof","","Cenchrus ciliaris","Pennisetum mezzianum","Digitaria macroblefara","Chloris roxburghiana","medium","2404","2459","18","1","","1","1","1","","","","1","","","Rongai Area","0.000555913","PZ","2021","6","4","12","44","Impala","","","4","LB","LB","LB","2.13325789765134e-08","6.53844649740237e-08","0.3453219","0.5513482","","",""
"6/4/21","1","DSCN2512","2","1251","0.462679441","36.84788225","PZ","1","full","no wind","no rain","Grazing","belly","green with some brown","Cynodon nlemfuensis","Bothriochloa insculpta","Chloris roxburghiana","Cymbopogon pospischilii","medium","2460","2490","10","1","4","","1","2","","","","2","","","","0.003821054","PZ","2021","6","4","12","51","Giraffe","","","4","LB","LB","LB","3.20222609810275e-08","6.98332099808929e-08","0.3472076","0.5559305","","",""
"6/4/21","1","DSCN2512","2","1251","0.462679441","36.84788225","GZ","1","full","no wind","no rain","Grazing","belly","green with some brown","Cynodon nlemfuensis","Bothriochloa insculpta","Chloris roxburghiana","Cymbopogon pospischilii","medium","2460","2490","1","","","1","","","","","","","","","","0.003821054","GZ","2021","6","4","12","51","Giraffe","","","4","LB","LB","LB","3.20222609810275e-08","6.98332099808929e-08","0.3472076","0.5559305","","",""
"6/7/21","1","DSCN2744","1","1100","0.469817537","36.85597013","PZ","0","full","light","no rain","Grazing","hock","brown with some green","Themeda triandra","Enteropogon macrostachyus","Bothriochloa insculpta","Cenchrus ciliaris","medium","2519","2558","10","1","","","2","2","","","1","1","","","Loitoiporeki Area ","0.005669764","PZ","2021","6","7","11","0","","","","4","LB","LB","LB","5.074257506936e-08","5.96778820662976e-08","0.3546309","0.5673424","","",""
"6/7/21","1","DSCN2744","2","1133","0.463384325","36.84910361","PZ","0","full","light","no rain","Standing","hoof","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Eragrostis tenuifolia","Cenchrus ciliaris","medium","2559","2572","6","1","","","2","1","","","","1","","1","Rongai Area (Old Boma 2019)","0.002460657","PZ","2021","6","7","11","33","Impala","","","4","LB","LB","OG","2.69022127254306e-08","7.78441377248095e-08","0.348029","0.5718425","","",""
"6/7/21","1","DSCN2744","3","1156","0.462712747","36.84819748","PZ","0","full","medium","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Cynodon plectostachyus","Microchloa kunthii","Chloris roxburghiana","medium","2573","2602","9","1","","","4","","","","1","3","","","Rongai Area (Old Boma 2019)","0.003508515","PZ","2021","6","7","11","56","","","","4","LB","LB","LB","2.53624784097615e-08","5.67011614069236e-08","0.3319787","0.5212987","","",""
"6/7/21","1","DSCN2745","1","1213","0.469371946","36.85240759","GZ","0","full","light","no rain","Grazing","belly","brown with some green","Cymbopogon pospischilii","Cenchrus ciliaris","Bothriochloa insculpta","Chloris roxburghiana","medium","2603","2640","8","","8","","","","","","","","","","Nairoshi Area","0.002205942","GZ","2021","6","7","12","13","Eland","","","4","LB","MB","OG","5.04917094162019e-08","5.86717534148438e-08","0.3273749","0.5134572","","",""
"6/7/21","1","DSCN2745","2","1258","0.46055664","36.83395197","PZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Microchloa kunthii","Cynodon plectostachyus","Pennisetum stramineum","medium","2641","2650","2","","2","","","","","","","","","","Lolakirding Area","0.008776385","PZ","2021","6","7","12","58","Giraffe"," Impala","","4","OG","OG","OG","3.1237690500593e-08","4.38941004991803e-08","0.2833219","0.4263031","","",""
"6/7/21","1","DSCN2745","3","1303","0.466059446","36.83595656","GZ","0","full","light","no rain","Walking","hock","green with some brown","Microchloa kunthii","Cenchrus ciliaris","Pennisetum stramineum","Chloris roxburghiana","medium","2651","2661","3","","3","","","","","","","","","","Lolakirding Area","0.007703143","GZ","2021","6","7","13","3","","","","4","OG","OG","OG","5.23187877166974e-08","5.85529317159001e-08","0.2909007","0.4232415","","",""
"6/7/21","1","DSCN2746","1","1314","0.470322378","36.83921785","PZ","0","full","light","no rain","Grazing","belly","brown with some green","Eragrostis racemosa","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","medium","2662","2678","8","1","","1","3","","","","2","1","","","Ngaremata Dam Area ","0.004552513","PZ","2021","6","7","13","14","","","","4","LB","LB","LB","3.62411125839813e-08","6.78973205809465e-08","0.3374968","0.5336131","","",""
"6/7/21","1","DSCN2746","2","1326","0.482998215","36.82700266","GZ","0","full","medium","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","medium","2679","2687","2","","2","","","","","","","","","","Ngaremata Dam Area ","0.005445898","GZ","2021","6","7","13","26","","","","4","OG","OG","OG","3.14687918252853e-08","5.10095268249134e-08","0.3060572","0.4399685","","",""
"6/7/21","1","DSCN2746","3","1404","0.460702646","36.83262721","GZ","0","full","light","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Cynodon plectostachyus","Microchloa kunthii","Harpachne schimperi ","medium","2688","2739","9","","","2","","3","4","","","","","","Lolakirding Area","0.010081555","GZ","2021","6","7","14","4","Impala","","","4","OG","OG","OG","2.03916934154778e-08","8.79281494147747e-08","0.318278","0.5056432","","",""
"6/11/21","2","DSCN6467","1","1049","0.468179402","36.85649734","PZ","0","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","","medium","2762","2799","15","2","","","5","2","","1","1","3","1","","","0.00564316","PZ","2021","6","11","10","49","Impala","","","3","MB","LB","LB","4.1145894003995e-08","6.83795660045123e-08","0.3992971","0.6360896","0.000315031072270468","",""
"6/11/21","2","DSCN6467","2","1112","0.487034912","36.83918047","PZ","0","full","light","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","light","2800","2820","8","1","","","2","2","","1","","1","1","","","0.004004867","PZ","2021","6","11","11","12","Giraffe","","","4","LB","LB","LB","4.07588606433254e-08","5.01633426435619e-08","0.3501492","0.5659302","6.17929371965938e-05","",""
"6/11/21","2","DSCN6467","3","1116","0.493316713","36.83986356","GZ","0","full","light","no rain","Walking","hoof","brown","Cynodon nlemfuensis","Pennisetum stramineum","","","medium","2821","2835","2","","2","","","","","","","","","","","0.00307664","GZ","2021","6","11","11","16","Oryx","","","2","OG","OG","LB","3.11788631704691e-08","7.59342061690241e-08","0.3153692","0.4664895","2.87908017294038e-05","240","8335966.76671265"
"6/11/21","2","DSCN6468","2","1135","0.506908785","36.84485621","GZ","1","full","light","no rain","Walking","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","","open grassland","2836","2868","8","","","2","3","","","","2","1","","","","0.000622674","GZ","2021","6","11","11","35","","","","3","OG","OG","OG","2.30340133249282e-08","6.65928783254538e-08","0.3255185","0.4952329","9.61890722872437e-05","240","2495083.32687699"
"6/11/21","2","DSCN6468","2","1135","0.506908785","36.84485621","PZ","1","full","light","no rain","Walking","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","","open grassland","2836","2868","4","1","","1","1","","","","1","","","","","0.000622674","PZ","2021","6","11","11","35","","","","3","OG","OG","OG","2.30340133249282e-08","6.65928783254538e-08","0.3255185","0.4952329","9.61890722872437e-05","240","2495083.32687699"
"6/11/21","2","DSCN6468","3","1146","0.501219762","36.85362203","PZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","light","2869","2888","8","1","","","3","1","","","","3","","","","0.005252369","PZ","2021","6","11","11","46","","","","2","LB","OG","LB","3.71558927438767e-08","4.10134247427083e-08","0.2965392","0.4137213","7.30067804166751e-06","350","47940095.9736696"
"6/11/21","2","DSCN6468","3","1146","0.501219762","36.85362203","GZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","light","2869","2888","4","","","2","","2","","","","","","","","0.005252369","GZ","2021","6","11","11","46","","","","2","LB","OG","LB","3.71558927438767e-08","4.10134247427083e-08","0.2965392","0.4137213","7.30067804166751e-06","350","47940095.9736696"
"6/11/21","2","DSCN6469","1","1151","0.4996549","36.85290731","PZ","0","full","light","no rain","Resting","hoof","brown with some green","Cynodon nlemfuensis","","","","open grassland","2889","2902","10","1","","1","3","1","","1","","2","1","","","0.00504034","PZ","2021","6","11","11","51","Impala","","","1","OG","OG","OG","2.6804726100466e-08","5.40110760989018e-08","0.2960073","0.4127208","9.7290947005153e-07","350","359708729.228981"
"6/12/21","2","DSCN6473","1","929","0.469275261","36.85893522","PZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Eragrostis racemosa","Eragrostis tenuifolia","","light","2904","2910","3","","","","","","","","","","","","","0.005235401","PZ","2021","6","12","9","29","","","","3","MB","MB","LB","4.90188899208807e-08","6.23713609223304e-08","0.3392472","0.5348099","6.04552443140589e-05","200","3308226.96106107"
"6/12/21","2","DSCN6473","3","936","0.481999607","36.86130672","GZ","0","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Themeda triandra","Pennisetum stramineum","","light","2911","2976","8","","1","5","1","2","1","","1","","","","","0.003380601","GZ","2021","6","12","9","36","Impala","","","3","OG","OG","OG","5.61087274507718e-08","6.86593044490224e-08","0.3041225","0.4633218","3.78587899286696e-05","200","5282775.07282497"
"6/12/21","2","DSCN6474","1","948","0.494588851","36.85550559","GZ","0","full","light","no rain","","","","Cynodon plectostachyus","Cyperus teneristolon","Themeda triandra","Pennisetum stramineum","light","2977","3015","8","","1","2","2","1","1","","1","","1","","","0.00499344","GZ","2021","6","12","9","48","","","","4","OG","LB","OG","3.51041137008728e-08","4.95589527011582e-08","0.3212396","0.4911402","2.66318063570021e-05","200","7509789.09729517"
"6/12/21","2","DSCN6474","2","957","0.499494302","36.85235698","PZ","0","part","light","no rain","Resting","hoof","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","","","open grassland","3016","3034","8","","1","","2","3","","","","2","","","","0.004471215","PZ","2021","6","12","9","57","","","","2","OG","MB","OG","3.51546748048527e-08","7.2224702803705e-08","0.2758541","0.3798886","4.6294028302404e-07","350","755873760.516489"
"6/12/21","2","DSCN6474","3","1000","0.502229636","36.84822441","PZ","0","part","light","no rain","Grazing","hoof","brown","Themeda triandra","Cynodon dactylon","Eragrostis tenuifolia","Pennisetum stramineum","light","3017","3072","8","","1","","2","3","","","2","","","","","0.001006973","PZ","2021","6","12","10","0","Giraffe","","","4","MB","OG","MB","3.15307101952253e-08","6.79933561964814e-08","0.357037","0.5616843","1.17559462920844e-05","239","20329964.1785967"
"6/12/21","2","DSCN6475","2","1011","0.494827","36.84305705","GZ","0","part","light","no rain","Walking","","brown with some green","","","","","light","3037","3138","19","","12","1","","2","2","2","","","","","","0.00076347","GZ","2021","6","12","10","11","","","","0","LB","LB","OG","3.10117924999192e-08","5.96667425005658e-08","0.3214202","0.4978875","5.83285711608266e-06","240","41145510.7973057"
"6/12/21","2","DSCN6475","2","1011","0.494827","36.84305705","PZ","0","part","light","no rain","Walking","","brown with some green","","","","","light","3139","3147","6","","1","1","2","","","","1","1","","","","0.00076347","PZ","2021","6","12","10","11","","","","0","LB","LB","OG","3.10117924999192e-08","5.96667425005658e-08","0.3214202","0.4978875","5.83285711608266e-06","240","41145510.7973057"
"6/12/21","2","DSCN6475","3","1024","0.491920776","36.83810894","GZ","0","full","no wind","no rain","Grazing","hock","","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","Chloris roxburghiana","open grassland","3148","3163","5","1","","","2","","","","2","","","","","0.004642319","GZ","2021","6","12","10","24","Impala","","","4","OG","OG","OG","4.96672809743976e-08","5.45345949764258e-08","0.3326551","0.5057613","5.76676660647523e-05","240","4161770.36805129"
"6/12/21","2","DSCN6476","1","1032","0.482766878","36.83849898","GZ","0","","","","","","","","","","","","3164","3175","3","","1","","","1","","","1","","","","","0.002080432","GZ","2021","6","12","10","32","","","","0","LB","LB","OG","4.14732352863184e-08","6.0822061683261e-08","0.3228549","0.5108447","4.04674330650908e-05","",""
"6/12/21","2","DSCN3247","2","1057","0.463730569","36.8360119","GZ","0","full","light","no rain","Grazing","belly","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Eragrostis tenuifolia","Chloris roxburghiana","medium","3176","3195","5","","","1","","","4","","","","","","Rongai Area","0.00742136","GZ","2021","6","12","10","57","Impala"," Oryx","","4","OG","OG","OG","4.18927675610975e-08","7.08626085591257e-08","0.2953771","0.4554663","4.62635861238404e-06","80","17291843.8707864"
"6/12/21","2","DSCN3248","1","1158","0.453275435","36.84151147","PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","","light","3196","3204","5","1","","2","","1","","1","","","","","Soing'ash Dam Area ","0.000680975","PZ","2021","6","12","11","58","Elephant","","","3","LB","OG","OG","3.65416731241266e-08","3.70051581258276e-08","0.3049748","0.4519553","0.000100695705289638","250","2482725.06765212"
"6/17/21","2","DSCN7997","2","1100","0.485345348","36.85832857","PZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","3271","3329","35","1","12","1","7","2","","","1","4","1","1","","0.007855531","PZ","2021","6","17","11","0","","","","4","LB","LB","LB","2.39627640042541e-08","6.67278860027726e-08","0.3272497","0.5081877","0","",""
"6/17/21","2","DSCN7997","2","1100","0.485345348","36.85832857","GZ","1","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","3330","3343","1","","","1","","","","","","","","","","0.007855531","GZ","2021","6","17","11","0","","","","4","LB","LB","LB","2.39627640042541e-08","6.67278860027726e-08","0.3272497","0.5081877","0","",""
"6/17/21","2","DSCN7998","1","1218","0.495867459","36.85341515","PZ","0","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Microchloa kunthii","Digitaria macroblefara","light","3368","3409","22","2","","","7","3","","","1","2","4","","","0.00491446","PZ","2021","6","17","12","18","","","","4","LB","LB","LB","2.98560727824099e-08","4.47405237789345e-08","0.295432","0.4315347","1.28668818335907e-05","162","12590365.1761659"
"6/17/21","2","DSCN7998","2","1240","0.49890006","36.85149937","GZ","0","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","3410","3441","5","","","2","","2","","","","","","","","0.003549159","GZ","2021","6","17","12","40","","","","3","OG","OG","MB","2.42043364998407e-08","5.72083265002484e-08","0.2963892","0.4142136","0","162","1.62e+12"
"6/17/21","1","DSCN8005","1","1345","0.481106358","36.84576039","GZ","0","full","light","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cyperus rubicundus","","open grassland","3442","3445","1","","","","","","1","","","","","","","0.00169746","GZ","2021","6","17","13","45","","","","3","LB","LB","LB","4.09956066642017e-08","4.97491946635231e-08","0.3177045","0.465574","2.20669412316923e-05","220","9969619.2928683"
"6/17/21","1","DSCN8005","2","1407","0.478605384","36.8441942","GZ","1","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","open grassland","3446","3458","3","","3","","","","","","","","","","","0.000244215","GZ","2021","6","17","14","7","Elephant","","","2","LB","LB","LB","3.38753846550647e-08","4.13627106576201e-08","0.3233342","0.4828878","5.28914877569839e-05","220","4159451.61281249"
"6/17/21","1","DSCN8005","2","1407","0.478605384","36.8441942","PZ","1","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","open grassland","3446","3458","5","","","","","","","","","","","","","0.000244215","PZ","2021","6","17","14","7","Elephant","","","2","LB","LB","LB","3.38753846550647e-08","4.13627106576201e-08","0.3233342","0.4828878","5.28914877569839e-05","220","4159451.61281249"
"6/17/21","1","DSCN8005","3","1448","0.463599599","36.85093968","PZ","0","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","","","medium","3459","3464","5","1","","","2","","1","","2","","","","","0.000628761","PZ","2021","6","17","14","48","","","","2","LB","LB","OG","2.69258739997804e-08","5.58165850020569e-08","0.3111593","0.47868","0.000271040058242416","300","1106847.05154165"
"6/18/21","2","DSCN7111","1","1018","0.476327475","36.85975704","PZ","0","full","no wind","no rain","Resting","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Cyperus rubicundus","light","3475","3499","7","1","","","3","","","","","1","","2","","0.002904219","PZ","2021","6","18","10","18","","","","4","LB","LB","LB","5.42882122274593e-08","7.17427872246463e-08","0.3973262","0.6830928","1.84300585076942e-06","300","162768730.767559"
"6/18/21","2","DSCN7111","2","1026","0.480382894","36.86146569","PZ","0","full","no wind","no rain","Resting","","brown","Cyperus rubicundus","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","light","3500","3514","5","1","","","","2","","2","","","","","DSCN3510 collared","0.002111801","PZ","2021","6","18","10","26","Impala","","","4","OG","OG","OG","1.8489110536126e-08","8.60067945359919e-08","0.326575","0.498049","1.12638662228585e-05","300","26633602.5929479"
"6/18/21","2","DSCN7112","1","1041","0.499592772","36.85476823","GZ","1","full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light","3515","3530","6","1","","2","","1","1","1","","","","","","0.003994164","GZ","2021","6","18","10","41","Impala","","","4","LB","LB","LB","3.54537560839606e-08","4.45554980841032e-08","0.3253307","0.5028018","0","300","3e+12"
"6/18/21","2","DSCN7112","1","1041","0.499592772","36.85476823","PZ","1","full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light","3515","3530","2","","","","","","","","","","","","","0.003994164","PZ","2021","6","18","10","41","Impala","","","4","LB","LB","LB","3.54537560839606e-08","4.45554980841032e-08","0.3253307","0.5028018","0","300","3e+12"
