"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","NDVI","EVI","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary"
"6/23/21","1","DSCN8258","1","940",0.486164181,36.86209384,"Cattle","","part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","light","","","170","","","","","","","","","","","","Lima 5","","","","Cattle","2021","6","23","9","40","","","","4",0.497,0.3237,"OB","OB","OB",2.16918344986521e-08,6.5582834568576e-08
"6/23/21","2","DSCN8258","2","942",0.488524586,36.86186387,"Cattle","","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","Cynodon plectostachyus","light","","","105","","","","","","","","","","","","Lima 5","","","","Cattle","2021","6","23","9","42","","","","4",0.4652,0.2955,"OB","OB","OB",4.1647256739692e-08,7.17823476457154e-08
"6/23/21","2","DSCN8258","3","955",0.497832558,36.86732894,"CC","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","","","50","","","","","","","","","","","","","","","","Cattle","2021","6","23","9","55","","","","4",0.475,0.3022,"OB","OB","OB",4.50833157861957e-08,4.87215986463578e-08
"6/23/21","2","DSCN8258","3","955",0.497832558,36.86732894,"Comm_Camel","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","","","20","","","","","","","","","","","","","","","","Camel","2021","6","23","9","55","","","","4",0.475,0.3022,"OB","OB","OB",4.50833157861957e-08,4.87215986463578e-08
"6/23/21","2","DSCN8259","1","1002",0.485628297,36.86177069,"ZC","","part","light","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","light","","","160","","","","","","","","","","","","","","","","Camel","2021","6","23","10","2","","","","4",0.497,0.3237,"OB","OB","OB",2.90050415830681e-08,4.56500073103304e-08
"6/23/21","2","DSCN8259","3","1017",0.501393021,36.85091115,"CKC","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","light","","","80","","","","","","","","","","","","","","","","Cattle","2021","6","23","10","17","","","","4",0.449,0.2764,"LB","LB","MB",3.33735370194024e-08,7.92756344200889e-08
"6/23/21","2","DSCN8260","1","1029",0.498397601,36.84664488,"MC","","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","light","","","100","","","","","","","","","","","","","","","","Cattle","2021","6","23","10","29","Impala","","","4",0.4542,0.2837,"LB","OB","LB",1.98431350534502e-08,7.36488632371308e-08
"6/24/21","1","DSCN5568","3","1240",0.465796213,36.8498703,"CC","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","","","","Cattle","2021","6","24","12","40","","","","4",0.4262,0.2554,"OB","OB","OB",2.1818238872132e-08,7.50535911416201e-08
"6/24/21","2","DSCN5581","1","1001",0.491447305,36.85606796,"CKC","","full","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light","","","170","","","","","","","","","","","","","","","","Cattle","2021","6","24","10","1","","","","4",0.3981,0.2351,"OB","OB","OB",2.19657273525822e-08,7.54881997703534e-08
"6/25/21","1","DSCN5579","1","1025",0.473562515,36.8365717,"MC","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","Chloris roxburghiana","light","","","345","","","","","","","","","","","","","","","","Cattle","2021","6","25","10","25","","","","4",0.405,0.2409,"LB","OB","OB",3.90680318067767e-08,6.25881227549092e-08
