"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier"
"6/4/21","1","DSCN2512","3","1315","0.462613257","36.84806615","PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light","","","14","","","","","","","","","","","","No photos","0.003661803","PZ","2021","6","4","13","15","","","","4","260398","51468","OG","OG","OG","4.32079816738101e-08","6.33850487314596e-08","","","","","","","","","","","","PZ18"
"6/9/21","2","DSCN6199","2","1101","0.498814734","36.85239056","Cattle","","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","350","","","","","","","","","","","","","0.004425795","Cattle","2021","6","9","11","1","","","","4","260880.79","55472.02971","MB","MB","MB","2.64417635713494e-08","6.10794990663072e-08","","","","","","","","","","","","CT1"
"6/9/21","2","DSCN6199","3","113","0.481462847","36.84472529","Cattle","","full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","","","","","","","","","","","","0.000748188","Cattle","2021","6","9","1","13","Oryx"," Impala","","4","260026.6438","53553.04142","MB","MB","MB","1.28974462145704e-05","1.29800125090905e-05","","","","","","","","","","","","CT2"
"6/10/21","2","DSCN6458","1","1055","0.490301121","36.85837738","Cattle","","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium","","","200","","","","","","","","","","","","","0.007654224","Cattle","2021","6","10","10","55","Oryx"," Impala","","4","261547.1107","54530.14033","MB","MB","MB","5.07750596170913e-08","7.07594237457625e-08","","","","","","","","","","","","CT3"
"6/11/21","2","DSCN6468","1","1120","0.497184191","36.84358289","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium","","","240","","","","","","","","","","","","","0.000407908","Cattle","2021","6","11","11","20","","","","3","259900","55292","OG","OG","OG","7.89873599967517e-07","1.09834113029779e-06","","","","","","","","","","","","CT4"
"6/12/21","2","DSCN6473","2","930","0.476963095","36.85777227","Cattle","","full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light","","","200","","","","","","","","","","","","","0.004908323","Cattle","2021","6","12","9","30","","","","3","261479.2636","53054.87358","MB","OG","LB","9.7478352310685e-07","1.04210448311327e-06","","","","","","","","","","","","CT5"
"6/12/21","2","DSCN6475","1","1006","0.499879586","36.84572777","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light","","","239","","","","","","","","","","","","","0.00108096","Cattle","2021","6","12","10","6","","","","4","260138.9298","55590.05536","LB","LB","LB","2.86633513573467e-08","7.07280829740546e-08","","","","","","","","","","","","CT6"
"6/12/21","2","DSCN3247","1","1029","0.455600409","36.8317498","Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium","","","250","","","","","","","","","","","","Rongai Area","0.007197225","Cattle","2021","6","12","10","29","","","","4","258580.924","50692.86824","OG","LB","OG","1.60630531967354e-06","1.98012100114929e-06","","","","","","","","","","","","CT7"
"6/12/21","2","DSCN3247","3","1126","0.465873341","36.83619868","Cattle","","full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium","","","80","","","","","","","","","","","","Rongai Area","0.007463698","Cattle","2021","6","12","11","26","","","","4","259076.6603","51829","MB","MB","MB","2.48790888049293e-06","2.5665421479423e-06","","","","","","","","","","","","CT8"
"6/14/21","2","DSCN3241","1","1127","0.501133379","36.84777045","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland","","","160","","","","","","","","","","","","","0.0004343","Cattle","2021","6","14","11","27","","","","2","260366.4279","55728.66044","MB","MB","MB","3.24860423603726e-08","7.62757149175864e-08","0.367861896753311","0.739554131624616","","","","","","","","","","CT9"
